Q6_q0_pa_,Q6_q1_pb_,Q6_q01_pab_,Q8_q2_pa_,Q8_q3_pb_,Q8_q23_pab_,Q12_q0_pa_,Q12_q3_pb_,Q12_q03_pab_,Q16_q1_pa_,Q16_q2_pb_,Q16_q12_pab_,Q10_q0_pa_,Q10_q2_pb_,Q10_q02_pab_,Q18_q1_pa_,Q18_q3_pb_,Q18_q13_pab_,Q14,Q3,Q4,Q5,survey_code,Q12_order,Q16_order,Q10_order,Q18_order,q3
0.15,0.17,0.07,0.14,0.02,0.1,0.05,0.46,0.46,0.58,0.58,0.5,0.14,0.03,0.07,0.22,0.06,0.05,1.0,2,60,2,25329314,1,4,2,3,Q12
0.3,1.0,0.3,0.6,0.2,0.7,0.3,0.75,0.75,1.0,0.6,0.6,0.75,0.8,0.75,1.0,0.3,1.0,1.0,2,39,5,28265787,3,1,4,2,Q16
0.3,0.95,0.3,0.7,0.2,0.2,0.2,0.75,0.75,0.9,0.7,0.75,0.0,0.0,0.2,0.8,0.2,0.2,1.0,2,26,2,94597354,4,1,2,3,Q16
0.5,1.0,0.5,0.1,0.0,0.2,0.05,1.0,1.0,1.0,0.99,1.0,0.5,1.0,1.0,1.0,0.1,0.9,1.0,2,43,5,68670296,2,1,4,3,Q16
0.25,0.65,0.55,0.6,0.6,0.1,0.75,0.75,0.65,0.75,0.75,0.9,0.65,0.7,0.6,0.6,0.4,0.75,1.0,2,34,4,73413678,2,4,3,1,Q18
0.7,0.8,0.7,0.6,0.6,0.9,0.3,0.8,0.8,0.9,0.6,0.6,0.6,0.6,0.9,0.9,0.5,0.5,1.0,2,56,3,68247976,1,2,4,3,Q12
0.24,0.25,0.65,0.55,0.35,0.6,0.55,0.65,0.3,0.27,0.4,0.36,0.27,0.45,0.1,0.35,0.45,0.1,1.0,1,30,3,27853796,1,3,4,2,Q12
0.6,1.0,0.8,0.9,0.9,0.8,0.6,0.09,0.9,1.0,0.9,0.9,0.4,0.4,0.3,0.9,0.4,0.8,1.0,1,26,3,93506850,4,1,3,2,Q16
0.0,0.5,0.2,0.6,0.7,0.25,0.05,0.9,0.8,0.3,0.7,0.7,0.4,0.6,0.3,0.0,0.1,0.3,1.0,1,44,6,56575546,2,4,1,3,Q10
0.0,0.4,0.2,0.4,0.6,0.5,0.5,0.5,0.6,0.2,0.5,0.4,0.2,0.3,0.6,0.7,0.3,0.2,1.0,2,28,6,59096806,3,2,1,4,Q10
